#============= ===========   GLOBAL         GLOBAL         GLOBAL         GLOBAL         GLOBAL         
#     TIME        DATE       RGIP           RGIP           WBHP           WBHP           FGIP           
#     MODEL       MODEL    001-001-001    002-001-001      HR-75          Z-68           FIELD        
#     [day]        [-]       [sm3]          [sm3]          [Bara]         [Bara]         [sm3]         
#============= =========== ============== ============== ============== ============== ==============
      0.000000  01.07.2007  1.4715590E+08  5.9598956E+07   119.7370       112.7862      2.0675486E+08
      0.100000  01.07.2007  1.4715590E+08  5.9598956E+07   119.7574       112.7973      2.0675486E+08
      0.225000  01.07.2007  1.4715590E+08  5.9598956E+07   119.7574       112.7973      2.0675486E+08
      0.420313  01.07.2007  1.4715590E+08  5.9598956E+07   119.7572       112.7973      2.0675486E+08
      0.725488  01.07.2007  1.4715590E+08  5.9598956E+07   119.7570       112.7973      2.0675486E+08
      1.202325  02.07.2007  1.4715590E+08  5.9598956E+07   119.7568       112.7972      2.0675486E+08
      1.601163  02.07.2007  1.4715590E+08  5.9598956E+07   119.7567       112.7971      2.0675486E+08
      2.000000  03.07.2007  1.4715590E+08  5.9598956E+07   119.7566       112.7969      2.0675486E+08
      2.100000  03.07.2007  1.4715590E+08  5.9598956E+07   119.7566       112.7968      2.0675486E+08
      2.225000  03.07.2007  1.4715590E+08  5.9598956E+07   119.7565       112.7967      2.0675486E+08
      2.420313  03.07.2007  1.4715590E+08  5.9598956E+07   119.7565       112.7965      2.0675486E+08
      2.725488  03.07.2007  1.4715590E+08  5.9598956E+07   119.7564       112.7963      2.0675486E+08
      3.202325  04.07.2007  1.4715590E+08  5.9598956E+07   119.7562       112.7957      2.0675486E+08
      3.601163  04.07.2007  1.4715590E+08  5.9598956E+07   119.7560       112.7951      2.0675486E+08
      4.000000  05.07.2007  1.4715590E+08  5.9598956E+07   119.7558       112.7945      2.0675486E+08
      5.000000  06.07.2007  1.4715590E+08  5.9598956E+07   119.7545       112.7925      2.0675486E+08
      6.000000  07.07.2007  1.4715590E+08  5.9598956E+07   119.7526       112.7902      2.0675486E+08
      6.200000  07.07.2007  1.4715590E+08  5.9598956E+07   119.7522       112.7897      2.0675486E+08
      6.450000  07.07.2007  1.4715590E+08  5.9598956E+07   119.7516       112.7891      2.0675486E+08
      6.840625  07.07.2007  1.4715590E+08  5.9598956E+07   119.7507       112.7881      2.0675486E+08
      7.420313  08.07.2007  1.4715590E+08  5.9598956E+07   119.7490       112.7865      2.0675486E+08
      7.478281  08.07.2007  1.4715590E+08  5.9598956E+07   119.7488       112.7863      2.0675486E+08
      7.550742  08.07.2007  1.4715590E+08  5.9598956E+07   119.7486       112.7861      2.0675486E+08
      7.663962  08.07.2007  1.4715590E+08  5.9598956E+07   119.7482       112.7858      2.0675486E+08
