#============= ===========   GLOBAL         GLOBAL         GLOBAL         GLOBAL         GLOBAL         GLOBAL         GLOBAL         GLOBAL         GLOBAL         
#     TIME        DATE       FGIP           FPR            FGPR           FGIR           WGPR           WGPR           WBHP           WBHP           WWPR           
#     MODEL       MODEL      FIELD          FIELD          FIELD          FIELD          S1             S2             S1             S2             S1           
#     [day]        [-]       [sm3]          [Bara]         sm3/day        sm3/day        sm3/day        sm3/day        [Bara]         [Bara]         sm3/day       
#============= =========== ============== ============== ============== ============== ============== ============== ============== ============== ==============
      0.000000  01.01.2010  1.3423723E+07   39.99667       0.000000       0.000000       0.000000       0.000000       39.98520       0.000000       0.000000    
      0.100000  01.01.2010  1.3347931E+07   39.73394       758564.5       0.000000       758564.5       0.000000       3.000000       0.000000       3923.194    
      0.239991  01.01.2010  1.3284810E+07   39.51955       451718.3       0.000000       451718.3       0.000000       3.000000       0.000000       1923.253    
      0.463212  01.01.2010  1.3226557E+07   39.32577       262426.7       0.000000       262426.7       0.000000       3.000000       0.000000       960.0569    
      0.731606  01.01.2010  1.3179633E+07   39.17485       176067.2       0.000000       176067.2       0.000000       3.000000       0.000000       543.3438    
      1.000000  02.01.2010  1.3142945E+07   39.05974       136701.0       0.000000       136701.0       0.000000       3.000000       0.000000       377.8824    
      1.500000  02.01.2010  1.3090791E+07   38.89908       104314.4       0.000000       104314.4       0.000000       3.000000       0.000000       268.1248    
      2.000000  03.01.2010  1.3048100E+07   38.76859       84905.42       0.000000       84905.42       0.000000       3.000000       0.000000       215.0122    
      3.000000  04.01.2010  1.2982428E+07   38.56809       65616.95       0.000000       65616.95       0.000000       3.000000       0.000000       170.8753    
      4.000000  05.01.2010  1.2924966E+07   38.39241       57383.73       0.000000       57383.73       0.000000       3.000000       0.000000       153.8715    
      5.000000  06.01.2010  1.2870453E+07   38.22555       54392.30       0.000000       54392.30       0.000000       3.000000       0.000000       149.7263    
      6.000000  07.01.2010  1.2819921E+07   38.07029       50470.82       0.000000       50470.82       0.000000       3.000000       0.000000       144.7684    
      7.000000  08.01.2010  1.2772065E+07   37.92243       47860.25       0.000000       47860.25       0.000000       3.000000       0.000000       144.8720    
      8.000000  09.01.2010  1.2724263E+07   37.77332       47805.85       0.000000       47805.85       0.000000       3.000000       0.000000       155.7942    
      9.000000  10.01.2010  1.2675531E+07   37.62030       48728.52       0.000000       48728.52       0.000000       3.000000       0.000000       165.2731    
     10.000000  11.01.2010  1.2626832E+07   37.46649       48694.16       0.000000       48694.16       0.000000       3.000000       0.000000       170.7541    
     11.000000  12.01.2010  1.2578471E+07   37.31407       48348.44       0.000000       48348.44       0.000000       3.000000       0.000000       165.2288    
     12.000000  13.01.2010  1.2530820E+07   37.16463       47602.86       0.000000       47602.86       0.000000       3.000000       0.000000       157.2524    
     13.000000  14.01.2010  1.2484167E+07   37.01899       46624.39       0.000000       46624.39       0.000000       3.000000       0.000000       149.5685    
     14.000000  15.01.2010  1.2438694E+07   36.87718       45449.90       0.000000       45449.90       0.000000       3.000000       0.000000       145.4279    
     15.000000  16.01.2010  1.2393245E+07   36.73575       45432.66       0.000000       45432.66       0.000000       3.000000       0.000000       143.1341    
     16.000000  17.01.2010  1.2348608E+07   36.59787       44392.13       0.000000       44392.13       0.000000       3.000000       0.000000       138.9115    
     17.000000  18.01.2010  1.2305361E+07   36.46362       43233.23       0.000000       43233.23       0.000000       3.000000       0.000000       134.8292    
     18.000000  19.01.2010  1.2263251E+07   36.33303       42106.83       0.000000       42106.83       0.000000       3.000000       0.000000       131.1378    
     19.000000  20.01.2010  1.2222262E+07   36.20593       40977.52       0.000000       40977.52       0.000000       3.000000       0.000000       127.6999    
     20.000000  21.01.2010  1.2182307E+07   36.08214       39950.93       0.000000       39950.93       0.000000       3.000000       0.000000       124.9937    
     21.000000  22.01.2010  1.2143275E+07   35.96122       39031.96       0.000000       39031.96       0.000000       3.000000       0.000000       122.8865    
     22.000000  23.01.2010  1.2105010E+07   35.84273       38243.83       0.000000       38243.83       0.000000       3.000000       0.000000       121.3179    
     23.000000  24.01.2010  1.2067449E+07   35.72636       37547.47       0.000000       37547.47       0.000000       3.000000       0.000000       120.0492    
     24.000000  25.01.2010  1.2030514E+07   35.61181       36933.91       0.000000       36933.91       0.000000       3.000000       0.000000       119.0652    
     25.000000  26.01.2010  1.1993893E+07   35.49881       36398.55       0.000000       36398.55       0.000000       3.000000       0.000000       118.2525    
     26.000000  27.01.2010  1.1957947E+07   35.38723       35923.94       0.000000       35923.94       0.000000       3.000000       0.000000       117.5176    
     27.000000  28.01.2010  1.1922447E+07   35.27701       35494.05       0.000000       35494.05       0.000000       3.000000       0.000000       116.7898    
